operating_point,pathology,threshold,n_opportunities,n_positive,fired,sensitivity,ppv,alert_rate,smoke_test
grid_0.75,Infiltration,0.75,22799,5887,2976,0.1986,0.3928,0.1305,False
grid_0.75,Effusion,0.75,22799,4520,4961,0.4066,0.3705,0.2176,False
grid_0.75,Atelectasis,0.75,22799,3122,3645,0.2771,0.2373,0.1599,False
grid_0.75,Nodule,0.75,22799,1465,839,0.071,0.124,0.0368,False
grid_0.75,Mass,0.75,22799,1582,2078,0.1764,0.1343,0.0911,False
grid_0.75,Consolidation,0.75,22799,1768,8058,0.5481,0.1203,0.3534,False
grid_0.75,Pneumothorax,0.75,22799,2633,2771,0.2909,0.2764,0.1215,False
grid_0.75,Pleural_Thickening,0.75,22799,1041,1758,0.1777,0.1052,0.0771,False
grid_0.75,Cardiomegaly,0.75,22799,974,755,0.1869,0.2411,0.0331,False
grid_0.75,Edema,0.75,22799,911,1113,0.1405,0.115,0.0488,False
grid_0.75,Emphysema,0.75,22799,1058,631,0.0633,0.1062,0.0277,False
grid_0.75,Fibrosis,0.75,22799,367,132,0.0163,0.0455,0.0058,False
grid_0.75,Pneumonia,0.75,22799,528,66,0.0038,0.0303,0.0029,False
grid_0.80,Infiltration,0.8,22799,5887,1380,0.0975,0.4159,0.0605,False
grid_0.80,Effusion,0.8,22799,4520,3374,0.2991,0.4007,0.148,False
grid_0.80,Atelectasis,0.8,22799,3122,1820,0.1611,0.2764,0.0798,False
grid_0.80,Nodule,0.8,22799,1465,333,0.0348,0.1532,0.0146,False
grid_0.80,Mass,0.8,22799,1582,1072,0.1056,0.1558,0.047,False
grid_0.80,Consolidation,0.8,22799,1768,5927,0.4072,0.1215,0.26,False
grid_0.80,Pneumothorax,0.8,22799,2633,1893,0.2127,0.2958,0.083,False
grid_0.80,Pleural_Thickening,0.8,22799,1041,1018,0.1085,0.111,0.0447,False
grid_0.80,Cardiomegaly,0.8,22799,974,484,0.1458,0.2934,0.0212,False
grid_0.80,Edema,0.8,22799,911,595,0.0746,0.1143,0.0261,False
grid_0.80,Emphysema,0.8,22799,1058,348,0.0369,0.1121,0.0153,False
grid_0.80,Fibrosis,0.8,22799,367,50,0.0082,0.06,0.0022,False
grid_0.80,Pneumonia,0.8,22799,528,40,0.0019,0.025,0.0018,False
grid_0.85,Infiltration,0.85,22799,5887,413,0.0314,0.4479,0.0181,False
grid_0.85,Effusion,0.85,22799,4520,1893,0.185,0.4416,0.083,False
grid_0.85,Atelectasis,0.85,22799,3122,583,0.0586,0.3139,0.0256,False
grid_0.85,Nodule,0.85,22799,1465,107,0.0184,0.2523,0.0047,False
grid_0.85,Mass,0.85,22799,1582,430,0.0449,0.1651,0.0189,False
grid_0.85,Consolidation,0.85,22799,1768,3533,0.2517,0.126,0.155,False
grid_0.85,Pneumothorax,0.85,22799,2633,1152,0.1295,0.296,0.0505,False
grid_0.85,Pleural_Thickening,0.85,22799,1041,448,0.0461,0.1071,0.0196,False
